"zone","value","timestep","severity","forest","km2","mortality"
1,680,2009,"low",153160,11165.364,0.00443980151475581
4,612,2009,"low",17786,1296.5994,0.0344090857978185
5,14583,2009,"low",590242,43028.6418,0.0247068151707266
6,508,2009,"low",496857,36220.8753,0.00102242697597095
7,1,2009,"low",4950,360.855,0.000202020202020202
8,254,2009,"low",161224,11753.2296,0.00157544782414529
9,1576,2009,"low",167063,12178.8927,0.00943356697772697
13,135,2009,"low",63622,4638.0438,0.00212190751626796
14,6,2009,"low",63529,4631.2641,9.44450565883297e-05
78,2268,2009,"low",395085,28801.6965,0.00574053684650139
80,9,2009,"low",24089,1756.0881,0.000373614512848188
81,0,2009,"low",3296,240.2784,0
1,8,2009,"medium",153160,11165.364,5.22329589971272e-05
4,28,2009,"medium",17786,1296.5994,0.0015742718992466
5,355,2009,"medium",590242,43028.6418,0.000601448219543848
6,4,2009,"medium",496857,36220.8753,8.05060611000751e-06
7,0,2009,"medium",4950,360.855,0
8,8,2009,"medium",161224,11753.2296,4.96204039100878e-05
9,118,2009,"medium",167063,12178.8927,0.00070632037015976
13,3,2009,"medium",63622,4638.0438,4.71535003615102e-05
14,12,2009,"medium",63529,4631.2641,0.000188890113176659
78,98,2009,"medium",395085,28801.6965,0.000248047888429072
80,1,2009,"medium",24089,1756.0881,4.15127236497987e-05
81,0,2009,"medium",3296,240.2784,0
1,1,2009,"high",153160,11165.364,6.5291198746409e-06
4,38,2009,"high",17786,1296.5994,0.00213651186326324
5,100,2009,"high",590242,43028.6418,0.000169422033674323
6,1,2009,"high",496857,36220.8753,2.01265152750188e-06
7,0,2009,"high",4950,360.855,0
8,1,2009,"high",161224,11753.2296,6.20255048876098e-06
9,166,2009,"high",167063,12178.8927,0.000993637130902713
13,11,2009,"high",63622,4638.0438,0.000172896167992204
14,3,2009,"high",63529,4631.2641,4.72225282941649e-05
78,34,2009,"high",395085,28801.6965,8.6057430679474e-05
80,0,2009,"high",24089,1756.0881,0
81,0,2009,"high",3296,240.2784,0
